time,temperature_2m,dew_point_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_direction_10m,shortwave_radiation,anomaly
2024-06-01 00:00:00,22.3,17.2,73,1017.6,10.3,216,0.0,-1
2024-06-01 01:00:00,22.1,17.1,73,1017.3,8.8,215,0.0,-1
2024-06-01 02:00:00,22.1,17.2,74,1017.1,6.9,231,0.0,-1
2024-06-01 03:00:00,21.9,17.3,75,1017.2,5.8,248,0.0,-1
2024-06-01 04:00:00,21.7,17.6,78,1017.0,6.7,306,0.0,-1
2024-06-01 05:00:00,21.8,17.0,74,1017.3,4.1,345,0.0,-1
2024-06-01 06:00:00,21.7,17.3,76,1017.5,3.8,41,8.0,-1
2024-06-01 07:00:00,21.9,17.5,76,1018.0,3.8,41,103.0,-1
2024-06-01 08:00:00,22.1,17.9,77,1018.3,7.9,24,275.0,-1
2024-06-01 09:00:00,22.1,18.1,78,1018.4,10.2,18,475.0,-1
2024-06-01 10:00:00,22.2,18.1,78,1018.2,11.1,13,663.0,-1
2024-06-01 11:00:00,22.3,18.3,78,1018.2,12.1,12,815.0,-1
2024-06-01 12:00:00,22.5,18.3,77,1018.2,12.4,10,911.0,-1
2024-06-01 13:00:00,22.6,18.2,76,1018.1,12.6,3,948.0,-1
2024-06-01 14:00:00,22.8,18.1,75,1017.7,14.0,360,925.0,-1
2024-06-01 15:00:00,23.0,18.4,75,1017.4,15.1,1,842.0,-1
2024-06-01 16:00:00,23.3,18.8,76,1017.2,13.7,358,708.0,-1
2024-06-01 17:00:00,23.1,19.5,80,1016.7,14.5,6,534.0,-1
2024-06-01 18:00:00,22.9,19.7,82,1016.2,13.4,6,338.0,-1
2024-06-01 19:00:00,23.1,19.6,80,1016.0,11.0,11,148.0,-1
2024-06-01 20:00:00,23.1,19.1,78,1015.9,11.6,5,19.0,-1
2024-06-01 22:00:00,22.5,20.0,86,1016.2,11.2,4,0.0,-1
2024-06-01 23:00:00,22.3,20.2,88,1015.8,12.6,5,0.0,-1
2024-06-02 00:00:00,22.2,20.3,89,1015.4,12.8,10,0.0,-1
2024-06-02 01:00:00,22.4,20.2,87,1015.0,11.2,15,0.0,-1
2024-06-02 08:00:00,23.3,19.9,81,1014.0,20.2,359,303.0,-1
2024-06-02 09:00:00,22.9,20.5,87,1013.6,23.4,357,502.0,-1
2024-06-02 10:00:00,22.8,20.6,88,1013.5,23.9,354,685.0,-1
2024-06-02 11:00:00,22.8,21.0,90,1013.4,22.5,347,831.0,-1
2024-06-02 12:00:00,23.0,21.1,89,1013.2,21.1,343,928.0,-1
2024-06-02 13:00:00,23.1,21.4,90,1013.0,19.7,345,965.0,-1
2024-06-15 00:00:00,26.8,26.1,96,1006.6,10.1,6,0.0,-1
2024-06-18 04:00:00,25.6,18.2,64,1008.9,3.1,324,0.0,-1
2024-06-18 10:00:00,24.9,19.8,73,1010.6,1.3,56,651.0,-1
2024-06-18 11:00:00,24.7,20.0,75,1010.5,3.1,36,812.0,-1
2024-06-18 12:00:00,24.6,20.5,78,1010.6,5.5,23,914.0,-1
